match_id,home,round,season,team,xg,xg_against,score,score_against
228,0,23,2017-18,RB Leipzig,0.6,1.2,1,2
230,1,24,2017-18,Mainz 05,1.0,1.3,1,1
230,0,24,2017-18,Wolfsburg,1.3,1.0,1,1
231,1,24,2017-18,Stuttgart,1.7,0.5,1,0
231,0,24,2017-18,Eint Frankfurt,0.5,1.7,0,1
232,1,24,2017-18,Hannover 96,1.9,1.3,0,1
232,0,24,2017-18,M'Gladbach,1.3,1.9,1,0
233,1,24,2017-18,Hoffenheim,0.6,1.0,1,1
233,0,24,2017-18,Freiburg,1.0,0.6,1,1
234,1,24,2017-18,Bayern Munich,2.4,0.3,0,0
234,0,24,2017-18,Hertha BSC,0.3,2.4,0,0
235,1,24,2017-18,Werder Bremen,0.9,0.6,1,0
235,0,24,2017-18,Hamburger SV,0.6,0.9,0,1
236,1,24,2017-18,Leverkusen,0.3,1.5,0,2
236,0,24,2017-18,Schalke 04,1.5,0.3,2,0
237,1,24,2017-18,RB Leipzig,2.4,1.6,1,2
237,0,24,2017-18,Köln,1.6,2.4,2,1
238,1,24,2017-18,Dortmund,0.7,1.2,1,1
238,0,24,2017-18,Augsburg,1.2,0.7,1,1
240,1,25,2017-18,M'Gladbach,1.7,1.9,2,2
240,0,25,2017-18,Werder Bremen,1.9,1.7,2,2
241,1,25,2017-18,Hamburger SV,1.6,0.5,0,0
241,0,25,2017-18,Mainz 05,0.5,1.6,0,0
242,1,25,2017-18,Schalke 04,0.5,1.6,1,0
242,0,25,2017-18,Hertha BSC,1.6,0.5,0,1
243,1,25,2017-18,Augsburg,0.4,2.1,0,2
243,0,25,2017-18,Hoffenheim,2.1,0.4,2,0
244,1,25,2017-18,Eint Frankfurt,1.8,0.4,1,0
244,0,25,2017-18,Hannover 96,0.4,1.8,0,1
245,1,25,2017-18,Wolfsburg,0.2,1.5,1,2
245,0,25,2017-18,Leverkusen,1.5,0.2,2,1
246,1,25,2017-18,RB Leipzig,0.6,1.8,1,1
246,0,25,2017-18,Dortmund,1.8,0.6,1,1
247,1,25,2017-18,Köln,1.5,0.5,2,3
247,0,25,2017-18,Stuttgart,0.5,1.5,3,2
248,1,25,2017-18,Freiburg,0.5,2.1,0,4
248,0,25,2017-18,Bayern Munich,2.1,0.5,4,0
250,1,26,2017-18,Mainz 05,0.8,0.3,0,1
250,0,26,2017-18,Schalke 04,0.3,0.8,1,0
251,1,26,2017-18,Hoffenheim,1.5,0.5,3,0
251,0,26,2017-18,Wolfsburg,0.5,1.5,0,3
252,1,26,2017-18,Hannover 96,1.0,2.2,1,3
252,0,26,2017-18,Augsburg,2.2,1.0,3,1
253,1,26,2017-18,Hertha BSC,1.3,0.3,0,0
